class	gut	gut	gut	gut	gut	gut	gut	gut	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue
subclass	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl
subject	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2
k__Bacteria.p__Proteobacteria	44337.0754583	41163.7657223	21684.2588343	20159.2193118	13876.3197587	23731.459797	5758.39255085	22755.8285635	497646.689677	601708.320152	131554.94756	349694.811801	186109.073123	266329.540666	163495.419309	512349.338075	351287.128713	414299.242424	184331.797235	546111.111111	273911.091154	312814.612398	510197.258442	665451.36357	549665.178571
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Skermanella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	762.970498474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Pusillimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5334.17006589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.p__Proteobacteria_x__L3.p__Proteobacteria_x__L4.p__Proteobacteria_x__L5.p__Proteobacteria_x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	941.324129275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2196.42296831	949.066751028	7067.94345645	1780.26449644	8559.55001223	7585.33501896	21846.3706836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.o__Burkholderiales_x__L5	0.0	10926.1847288	13653.0518587	4494.09347714	7239.81900452	12334.1139735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Fusobacteria	426.318033253	0.0	0.0	3980.48279404	0.0	0.0	0.0	0.0	35456.5422027	28472.0025308	37847.6972184	49338.7589013	149669.845928	11799.4100295	33826.6384778	132582.493578	209108.910891	103693.181818	58883.7685612	26111.1111111	82622.3619219	103552.423414	163657.639585	97418.6962228	98214.2857143
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f___Barnesiellaceae_	0.0	0.0	0.0	0.0	1809.95475113	1717.40827479	735.113942661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	710.530055421	0.0	0.0	0.0	0.0	0.0	612.594952218	0.0	143395.04236	27522.9357798	27359.7811218	22634.7914547	44509.6600636	52254.5301306	41578.5764623	233353.092274	154455.445545	169034.090909	130056.323605	258888.888889	237539.290525	104127.714656	215814.108994	137086.189296	296875.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	0.0	381.14597891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.f__Christensenellaceae_g__L6	0.0	0.0	0.0	0.0	0.0	468.384074941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1255.09883903	1265.4223347	0.0	0.0	6113.96429445	0.0	0.0	1580.71527366	0.0	0.0	0.0	0.0	0.0	0.0	1671.6817118	2625.05468864	1116.07142857
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f___Weeksellaceae_.g__Cloacibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1780.26449644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13492.3125196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
